=== RUN   TestDiagLive
godror WARNING: discrepancy between SESSIONTIMEZONE ("+00:00"=0) and SYSTIMESTAMP ("-03:00"=-300) - set connection timezone, see https://github.com/godror/godror/blob/master/doc/timezone.md

===== F1 ALIQINTDEST distintas por UF destino (notas de venda 2026) =====
UF | ITENS | ALIQS_DISTINTAS | MIN_ALIQ | MAX_ALIQ | FCPS_DISTINTOS | MAX_FCP
5 | 2 | 2 | 17 | 20.5 | 1 | 0
7 | 2 | 1 | 18 | 18 | 1 | 0
8 | 2 | 1 | 17 | 17 | 1 | 0
9 | 173 | 1 | 19 | 19 | 1 | 0
10 | 1 | 1 | 23 | 23 | 1 | 0
13 | 100 | 1 | 19 | 19 | 1 | 0
15 | 12 | 1 | 18 | 18 | 1 | 0
17 | 2 | 1 | 20.5 | 20.5 | 1 | 0
19 | 8 | 2 | 18 | 19 | 1 | 2
21 | 1 | 1 | 17 | 17 | 1 | 0
25 | 14 | 1 | 18 | 18 | 1 | 0
(11 linhas)

===== F2 ALIQINTDEST x aliquota por UF (as combinacoes) =====
UF | ALIQUOTA | ALIQINTDEST | PERCFCP | ALIQPARADIFAL | ITENS
5 | 7 | 17 | 0 | 10 | 1
5 | 7 | 20.5 | 0 | 13.5 | 1
7 | 7 | 18 | 0 | 11 | 2
8 | 7 | 17 | 0 | 10 | 1
8 | 4 | 17 | 0 | 13 | 1
9 | 7 | 19 | 0 | 12 | 127
9 | 4 | 19 | 0 | 15 | 46
10 | 7 | 23 | 0 | 16 | 1
13 | 7 | 19 | 0 | 12 | 81
13 | 4 | 19 | 0 | 15 | 19
15 | 12 | 18 | 0 | 6 | 10
15 | 4 | 18 | 0 | 14 | 2
17 | 7 | 20.5 | 0 | 13.5 | 2
19 | 12 | 18 | 2 | 6 | 6
19 | 12 | 19 | 2 | 7 | 2
21 | 12 | 17 | 0 | 5 | 1
25 | 12 | 18 | 0 | 6 | 12
25 | 4 | 18 | 0 | 14 | 2
(18 linhas)

===== F3 itens do TOP 306 com destino MG =====
NUNOTA | SEQUENCIA | CODPROD | VLRTOT | VLRDESC | ITEICMS | ALIQICMS | DIFAL | PBASE | PBASER | UF
823584 | 1 | 17757 | 4.93 | 0 | 0 | 0 | 0 | 20.86 | 20.86 | 13
841382 | 1 | 42195 | 17.5 | 0 | 0 | 0 | 0 | 17.5 | 17.5 | 13
882236 | 1 | 21698 | 1855.98 | 1563 | 0 | 0 | 0 | 292.98 | 292.98 | 13
882236 | 2 | 27146 | 756.66 | 620 | 24.6 | 18 | 0 | 136.66 | 112.07 | 13
882236 | 3 | 42530 | 2291.04 | 544.18 | 0 | 0 | 0 | 1746.86 | 1420.19 | 13
883907 | 1 | 41309 | 195.3 | 0 | 0 | 0 | 0 | 195.3 | 195.3 | 13
892337 | 1 | 22467 | 1231.71 | -258.19 | 0 | 0 | 0 | 1489.9 | 1426.32 | 13
892522 | 1 | 42519 | 1936.6 | 316.8 | 0 | 0 | 0 | 1619.8 | 1552.53 | 13
895434 | 1 | 15956 | 199 | 29.01 | 0 | 0 | 0 | 169.99 | 169.99 | 13
(9 linhas)

===== F4 aliquota de saida do TOP 306 por UF destino =====
UF | ALIQUOTA | ITENS
5 | 7 | 2
8 | 4 | 1
8 | 7 | 1
10 | 7 | 1
13 | 0 | 13
13 | 18 | 2
15 | 12 | 3
17 | 7 | 2
19 | 12 | 8
19 | 0 | 1
21 | 12 | 1
25 | 12 | 11
25 | 0 | 2
25 | 4 | 2
(14 linhas)

===== F5 UF do TSIUFS para decodificar os codigos =====
CODUF | UF | DESCRICAO
0 | SF | <sem UF>
1 | AM | AMAZONAS
2 | AP | AMAPA
3 | AL | ALAGOAS
4 | AC | ACRE
5 | BA | BAHIA
6 | CE | CEARA
7 | DF | DISTRITO FEDERAL
8 | ES | ESPIRITO SANTO
9 | GO | GOIAS
10 | MA | MARANHAO
11 | MS | MATO GROSSO DO SUL
12 | MT | MATO GROSSO
13 | MG | MINAS GERAIS
14 | PA | PARA
15 | PR | PARANA
16 | PB | PARAIBA
17 | PE | PERNAMBUCO
18 | PI | PIAUI
19 | RJ | RIO DE JANEIRO
20 | RN | RIO GRANDE DO NORTE
21 | RS | RIO GRANDE DO SUL
22 | RO | RONDONIA
23 | RR | RORAIMA
24 | SC | SANTA CATARINA
25 | SP | SAO PAULO
26 | SE | SERGIPE
27 | TO | TOCANTINS
29 | EX | CHINA
30 | EX | COLON
(30 linhas)
--- PASS: TestDiagLive (1.10s)
PASS
