=== RUN   TestDiagLive
godror WARNING: discrepancy between SESSIONTIMEZONE ("+00:00"=0) and SYSTIMESTAMP ("-03:00"=-300) - set connection timezone, see https://github.com/godror/godror/blob/master/doc/timezone.md

===== O1 TSIUFS.AD_ALIQINT por UF =====
CODUF | UF | AD_ALIQINT
1 | AM | 17
2 | AP | 17
3 | AL | 17
4 | AC | 17
5 | BA | 17
6 | CE | 17
7 | DF | 17
8 | ES | 17
9 | GO | 17
10 | MA | 17
11 | MS | 17
12 | MT | 17
13 | MG | <nil>
14 | PA | 17
15 | PR | 18
16 | PB | 17
17 | PE | 17
18 | PI | 17
19 | RJ | 19
20 | RN | 17
21 | RS | 17
22 | RO | 17
23 | RR | 17
24 | SC | 17
25 | SP | 18
26 | SE | 17
27 | TO | 17
(27 linhas)

===== O2 tabelas do METALPRD com coluna de FCP por UF =====
TABLE_NAME | COLUMN_NAME
TGFAID | PERCICMSFCP
TGFHICM | BASEFCPINT
TGFHICM | FORMCALFCPDIFAL
TGFHICM | PERCICMSFCP
TGFHICM | PERCICMSFCPINT
TGFHICM | PERCSTFCPINT
TGFHICM | REPDIFALFCP
TGFHICM | TIPCALCFCPSTESPEC
TGFICM | BASEFCPINT
TGFICM | CALCALIFCPST
TGFICM | FORMCALFCPDIFAL
TGFICM | PERCICMSFCP
TGFICM | PERCICMSFCPINT
TGFICM | PERCSTFCPINT
TGFICM | REPDIFALFCP
TGFICM | TIPCALCFCPSTESPEC
TGFICMBK130116 | PERCICMSFCP
TGFICMBK2402 | PERCICMSFCP
TGFICM_INT_TRIB | BASEFCPINT
TGFICM_INT_TRIB | PERCICMSFCP
TGFICM_INT_TRIB | PERCICMSFCPINT
TGFICM_INT_TRIB | PERCSTFCPINT
TGFICM_INT_TRIB | REPDIFALFCP
TSIGUF | CODCLSVENCDIMEFCPST
TSIGUF | CODFCPSTGNRE
TSIGUF | CODRECDIMEFCPST
TSIUFS | CODCLSVENCDIMEFCPST
TSIUFS | CODFCPSTGNRE
TSIUFS | CODRECDIMEFCPST
TSIUFS | TIPTITGNREFCPST
TTKPITI | ALIQFCPST
TTKPITI | ALIQICMSFCP
TTKPITRI | ALIQFCPST
TTKPITRI | ALIQICMSFCP
(34 linhas)
--- PASS: TestDiagLive (5.28s)
PASS
