# Reconciliação demo→real dos 34 do bloco priced (90001-90034).
# Fonte: especialista Sankhya local_ec787804, METALPRD read-only, 2026-07-19.
# Match: TGFPRO.REFERENCIA = EAN. custo = TGFCUS.CUSSEMICM as-of, CODEMP=1.
# carga_B2C = ALIQUFDEST+FCP por UF destino (EC87, produto-independente); ST/redução só ABAIXA.
#   SP=18% (FCP0), RJ=22% (dest 20 + FCP2). Saída de MG(13).
# aliq_origem_ref = ICMS realizado da origem (blend) — só referência, NÃO a carga B2C.
# refforn_real substitui o MLB… que o import errado pôs no REFFORN; o MLB vai p/ tabela de link.
codprod_demo	ean	codprod_real	refforn_real	custo_semicm	aliq_origem_ref	carga_SP	carga_RJ	nota
90001	7898016503522	20317	500AA	9.89	18.0	18	22	custo vig.2010 defasado
90002	7898016506042	20316	150AE	8.15	17.99	18	22	ok
90003	7898016503478	20311	120BC	5.84	17.98	18	22	ok
90004			—	—	—	—	—	—	SEM MATCH — EAN vazio, título/manual
90005			—	—	—	—	—	—	SEM MATCH — EAN vazio, título/manual
90006	7896451856739	26909	7030297	23.26	sem_venda	18	22	Lorenzetti
90007			—	—	—	—	—	—	SEM MATCH — EAN vazio, título/manual
90008	7894200146179	15956	2020.C.FLX	91.57	12.65	18	22	ok
90009	7894203038129	41912	4606.GF.040.MT	154.53	15.52	18	22	ok
90010	7894200160885	22467	1877.C33.	691.13	8.47	18	22	CANÔNICO; dup=44975
90011	7898016503119	20307	120AK	5.84	sem_venda	18	22	ok
90012	7898016503126	20308	120AM	5.84	17.98	18	22	ok
90013	7898016503638	20323	500AL	9.89	17.99	18	22	ok
90014	7898016500118	20291	100AK	4.52	17.97	18	22	ok
90015	7898016503560	20319	500AE	9.89	17.99	18	22	ok
90016	7898016500125	20292	100AL	4.52	sem_venda	18	22	ok
90017	7898016500187	20294	100AR	4.52	17.97	18	22	ok
90018	7898016505151	20325	600AP	8.64	18.01	18	22	ok
90019	7898016503065	20303	120AG	5.84	17.99	18	22	ok
90020	7898016503256	20310	120BA	5.84	sem_venda	18	22	ok
90021	7898016500750	20300	100CX	4.52	sem_venda	18	22	ok
90022	7898016500699	20298	100CQ	4.52	17.97	18	22	ok
90023	7898016500774	20301	100CY	4.52	11.7	18	22	ok
90024	7898016500859	20302	100DG	4.52	sem_venda	18	22	ok
90025	7898016500736	20299	100CU	4.52	17.99	18	22	ok
90026	7898016503799	20324	500AU	9.89	17.99	18	22	ok
90027	7898016503621	20322	500AK	9.89	17.99	18	22	ok
90028	7898016506004	20312	150AA	8.15	12.0	18	22	ok
90029	7898016505175	20326	600AR	10.45	sem_venda	18	22	ok
90030	7898016503546	20318	500AC	9.89	17.99	18	22	ok
90031	7891461490355	42519	008720CE	478.06	12.0	18	22	CANÔNICO; dup=43534
90032	7891461124830	39587	00574606	409.68	12.0	18	22	ok
90033	7891461034245	42194	17010306	179.02	11.5	18	22	ok
90034	7891461034580	39563	90171606006	138.85	sem_venda	18	22	ok
